label,sentence
1,부산교육청 '최소 성취기준 다깨침 학습자료' 개발
1,되는 '최소 성취기준 다깨침 학습자료'를 전국 처음으로 개발해 부산지역 모든 초등학교에 보급한다고 21일 밝혔다. 이 자료는 기초학력 보장의 기준이 되는 최소 성취기준을 선정-진단-보정함으로써 기초학력을 높여...
1,부산교육청 최소 성취기준 다깨침 학습자료 전국 최초 개발
1,최소 성취기준 다깨침 학습자료를 전국 최초로 개발해 부산지역 모든 초등학교에 보급한다고 21일 밝혔다. ©(사진제공=부산교육청) 부산지역 학생 기초학력 보장으로 교육의 공공성과 책무성 강화 위해 최소 성취기준...
1,[새로나온책] 성취하는 뇌
1,성취하는 뇌 마르틴 코르테|블랙피쉬|312 페이지 우리는 두뇌 훈련 또는 치매 예방을 목적으로 스도쿠를... 책 '성취하는 뇌'에 담았다. 스도쿠처럼 특정 영역에만 적용되거나 일회성에 그치는 단순한 뇌 단련법 대신...
1,조현종박사의 고고학 산책<19> 영산강 유역의 탁월한 문화적 성취
1,두 유적은 당시 한반도 어디에도 비견할 수 없는 영산강유역의 탁월한 문화적 성취를 보여준다. 초포리 청동기들은 국립중앙박물관에서 전시 중이다. 조현종은 국립중앙박물관 고고부장과 학예연구실장...
1,＂자립과 성취의 상징 흰지팡이와 함께＂
1,흰지팡이는 시각장애인이 길을 찾고 활동하는데 적합한 도구이자 시각 장애인의 자립과 성취를 나타내는 전 세계적으로 공인된 상징이다. 일반 지체부자유자나 노인의 보행에 쓰이고 있는 지팡이와는 구별되며...
1,[세평] 혁신도시 대전 지역 청년에게 희망과 성취의 기회로 이어지길
1,지역이 그토록 염원하는 혁신도시 지정은 성취했다. 이제 한 발짝 더 나아가 혁신도시의 효과를 극대화할 수... 희망과 성취의 기회가 될 수 있다. 지역 청년들이 기회를 잡을 수 있도록 양질의 공공기관 유치는 물론...
1,경북교육청 '스스로 학업성취인증제' 개통
1,경북교육청의 학업성취인증제 안네 홈페이지 화면 경북교육청은 초등학교 3학년부터 중학교 3학년까지 국어·영어·수학·사회·과학의 5개 교과에 '스스로 학업성취인증제'를 개통했다고 18일 밝혔다. '스스로...
1, 금수저 아니면 꿈도 못꾼 강남 창업…규제 풀자 '소원 성취' 
1,#지난 8월부터 공유미용실 창업에 성공한 20대 입주미용사 A씨는 강남에 1인샵을 오픈하려면 최소 2억원이 필요했는데 공유미용실에선 월 임대료 250만원 수준으로 독립 창업을 할 수 있었다. 그는  강남에 번듯한...
1,'케리아' 류민석 펀플 '크리스프' 만나 소원 성취…'내년 롤드컵서 만나길!'
1,'케리아' 류민석이 가장 만나고 싶은 선수 FPX 서포트 '크리스프'와 조우했다. 지난 18일 DRX 공식 SNS에는  DRX Keria × FPX Crisp 라는 글과 함께 '크리스프' 류칭쓩와 류민석의 사진 한 장이 올라왔다. 공개된 사진에는...
1,경북교육청 '스스로 학업성취인증제' 실시
1,경북교육청(교육감 임종식)은 16일 초등학교 3학년부터 중학교 3학년까지 국어 영어 수학 사회 과학의 5개 교과에 ‘스스로 학업성취인증제’를 개통한다. ‘스스로 학업성취인증제’는 지난 7일 가개통해 15일까지...
1,[신간] 『성취하는 뇌』
1,전반을 차근차근 끌어올리는 방법' '뇌의 노화를 늦추며 사는 법' '뇌에 관한 오해와 진실' '똑똑한 두뇌를 만드는 방법'으로 구분돼있다. ■ 성취하는 뇌 마르틴 코르테 지음│손희주 옮김│블랙피쉬 펴냄│312쪽│16000원
1,정세균  방탄소년단·기생충 성취 밑바탕엔 한글 있어 
1,정세균 국무총리가 한글날을 맞아 ‘방탄소년단’과 영화 ‘기생충’의 성취의 밑바탕엔 한글이 있었다고 강조했다. 정 총리는 경복궁 수정전에서 열린 한글날 경축식에서 “방탄소년단과 영화 기생충 사례의 공통점은...
1,경북교육청 '스스로 학업성취인증제' 실시
