label,sentence
1,“2022년 기업가치 100조원 목표”… 미래 먹거리 ‘승부수’ 띄운 SK
1,SK하이닉스가 한국 인수합병(M&A) 역사상 가장 높은 금액인 90억 달러(약 10조2591억 원)짜리 계약서에 최종 사인하면서 메모리반도체 경쟁력을 강화하기 위한 ‘승부수’를 던졌다. 2018년 약 4조 원을 투자해 당시...
1, 수익 낮추고 인건비 부풀려 …국정 목표에 널뛴 월성 1호기 경제성
1,월성 1호기는 지난 1983년 첫 상업 운전을 시작한 국내 두 번째 원자력 발전소입니다. 2012년 설계 수명이 다 돼서 가동이 중단됐었다가 전면 보수 작업을 거친 뒤 2015년부터 다시 가동에 들어갔습니다. 원래는...
1,현대·GS·대우건설 온실가스 에너지 감축 목표 협약
1,한국감정원은 21일 현대건설 GS건설 대우건설과 함께 '2021년 온실가스 에너지 감축목표 협약'을 체결했다고 밝혔다. 온실가스 에너지 목표관리제는 '저탄소 녹색성장 기본법'에 따라 온실가스 감축과 에너지 절약을...
1,'한국형 중이온가속기' 완공 목표 또 미뤄져···IBS  내년 완성 못해 
1,약 95만㎡ 부지에 13만㎡ 규모로 건설을 추진해 당초 2017년 완공을 목표 했지만 한국토지주택공사(LH)의 토지... 권 단장은 지난해 4월 기자간담회에서 “2021년 고에너지 (초전도가속)구간에서 빔을 인출하는 게 목표로...
1,삼척시 2020년 공모사업 2000억 이상 달성목표 질주
1,이상 목표 달성에 전력 질주하기로 했다. 지금까지 선정된 주요사업으로는 ▲ESS 화재안전성 검증센터... 이상의 목표를 달성해 현안 중심의 지역개발 추진에 큰 탄력을 받을 것으로 기대하고 있다. 삼척시가...
1,코인원  가상자산 넘어 '디지털자산 플랫폼' 목표 
1,중개가 목표였고 최근 들어서는 디파이 등 가상자산 투자와 관련된 부가 서비스를 제공하고 있다 라며  5년... 것이 목표  라고 밝혔다. 코인원은 2014년 설립돼 올해로 설립 6주년을 맞았다. 설립 당시에는 코빗과 빗썸...
1,[컨콜종합] LG화학  내년 배터리 매출 18조 목표 
1,LG화학이 내년 배터리 매출 목표를 18조원대로 잡았다. 이는 올해 예상 매출(13조원)보다 30%넘게 증가한... 각각 목표로 한다 고 강조했다. 이날 LG화학은 3분기 전지 부문 매출이 3조1천439억원 영업이익이 1천688억원으로...
1,제일기획 예상보다 빠른 실적 회복…목표가↑-대신
1,투자의견은 ‘매수’를 유지했고 목표가는 2만5000원에서 2만8000원으로 12% 상향했다. 김회재 대신증권 연구원은 21일 “3분기 제일기획의 영업총이익(GP)이 전년 동기 대비 2.1% 감소한 2800억원 같은 기간 영업이익(OP)...
1,中  코로나19 백신 6만명 접종했는데 부작용 경미 …연말 6억1000만 도스 목표
1,중국 정부가 지금까지 약 6만 명이 중국산 신종 코로나바이러스 감염증(COVID-19·코로나19) 백신을 맞았지만 심각한 부작용이 나타나지 않았다고 밝혔다. 이 백신은 중국 제약회사인 시노백이 개발한 것으로 아직 3상...
1,법무부 26일 대체복무제 첫 시행…2023년까지 1600명 목표
1,법무부가 종교적 신앙 등에 따른 병역거부자를 대상으로 한 대체복무제를 26일부터 시행한다. 양심적 병역거부자들이 처벌 대신 사회복무를 하는 것으로 2023년까지 약 1600명이 대상이 될 예정이다. 법무부는 ‘대체역...
1,LG화학  전지부문 신설법인 2024년 매출 30조원 목표 
