label,sentence
5,“2022년 기업가치 100조원 목표”… 미래 먹거리 ‘승부수’ 띄운 SK
5,SK하이닉스가 한국 인수합병(M&A) 역사상 가장 높은 금액인 90억 달러(약 10조2591억 원)짜리 계약서에 최종 사인하면서 메모리반도체 경쟁력을 강화하기 위한 ‘승부수’를 던졌다. 2018년 약 4조 원을 투자해 당시...
5, 수익 낮추고 인건비 부풀려 …국정 목표에 널뛴 월성 1호기 경제성
5,월성 1호기는 지난 1983년 첫 상업 운전을 시작한 국내 두 번째 원자력 발전소입니다. 2012년 설계 수명이 다 돼서 가동이 중단됐었다가 전면 보수 작업을 거친 뒤 2015년부터 다시 가동에 들어갔습니다. 원래는...
5,현대·GS·대우건설 온실가스 에너지 감축 목표 협약
5,한국감정원은 21일 현대건설 GS건설 대우건설과 함께 '2021년 온실가스 에너지 감축목표 협약'을 체결했다고 밝혔다. 온실가스 에너지 목표관리제는 '저탄소 녹색성장 기본법'에 따라 온실가스 감축과 에너지 절약을...
5,'한국형 중이온가속기' 완공 목표 또 미뤄져···IBS  내년 완성 못해 
5,약 95만㎡ 부지에 13만㎡ 규모로 건설을 추진해 당초 2017년 완공을 목표 했지만 한국토지주택공사(LH)의 토지... 권 단장은 지난해 4월 기자간담회에서 “2021년 고에너지 (초전도가속)구간에서 빔을 인출하는 게 목표로...
5,삼척시 2020년 공모사업 2000억 이상 달성목표 질주
5,이상 목표 달성에 전력 질주하기로 했다. 지금까지 선정된 주요사업으로는 ▲ESS 화재안전성 검증센터... 이상의 목표를 달성해 현안 중심의 지역개발 추진에 큰 탄력을 받을 것으로 기대하고 있다. 삼척시가...
5,코인원  가상자산 넘어 '디지털자산 플랫폼' 목표 
5,중개가 목표였고 최근 들어서는 디파이 등 가상자산 투자와 관련된 부가 서비스를 제공하고 있다 라며  5년... 것이 목표  라고 밝혔다. 코인원은 2014년 설립돼 올해로 설립 6주년을 맞았다. 설립 당시에는 코빗과 빗썸...
5,[컨콜종합] LG화학  내년 배터리 매출 18조 목표 
5,LG화학이 내년 배터리 매출 목표를 18조원대로 잡았다. 이는 올해 예상 매출(13조원)보다 30%넘게 증가한... 각각 목표로 한다 고 강조했다. 이날 LG화학은 3분기 전지 부문 매출이 3조1천439억원 영업이익이 1천688억원으로...
5,제일기획 예상보다 빠른 실적 회복…목표가↑-대신
5,투자의견은 ‘매수’를 유지했고 목표가는 2만5000원에서 2만8000원으로 12% 상향했다. 김회재 대신증권 연구원은 21일 “3분기 제일기획의 영업총이익(GP)이 전년 동기 대비 2.1% 감소한 2800억원 같은 기간 영업이익(OP)...
5,中  코로나19 백신 6만명 접종했는데 부작용 경미 …연말 6억1000만 도스 목표
5,중국 정부가 지금까지 약 6만 명이 중국산 신종 코로나바이러스 감염증(COVID-19·코로나19) 백신을 맞았지만 심각한 부작용이 나타나지 않았다고 밝혔다. 이 백신은 중국 제약회사인 시노백이 개발한 것으로 아직 3상...
5,법무부 26일 대체복무제 첫 시행…2023년까지 1600명 목표
5,법무부가 종교적 신앙 등에 따른 병역거부자를 대상으로 한 대체복무제를 26일부터 시행한다. 양심적 병역거부자들이 처벌 대신 사회복무를 하는 것으로 2023년까지 약 1600명이 대상이 될 예정이다. 법무부는 ‘대체역...
5,LG화학  전지부문 신설법인 2024년 매출 30조원 목표 
5,2024년 목표 매출을 30조원으로 잡고 글로벌 1위 지위를 이어가겠다고 포부를 밝혔다. LG화학 장승세... 올해 역대 최대 규모의 매출과 영업이익을 달성한 전지부문의 내년 목표는 매출 18조원 중후반 영업이익률은...
5,GS ITM-㈜씨이랩 AI/빅데이터 영상 분석 서비스 사업 확대 목표로 협력 강화
5,사진 설명: GS ITM 정보영 전무(CTO)와 ㈜씨이랩 이우영대표가 10월 15일 GS ITM 본사에서 MOU 체결식을 진행했다. 정보기술(IT) 서비스 기업 ㈜GS ITM(대표 변재철)이 AI영상분석 전문기업 ㈜씨이랩(대표 이우영)과 손잡고...
5,게임빌 목표주가 낮아져 “연간 새 게임 출시 더 늘릴 필요성 높아”
5,게임빌 목표주가가 낮아졌다. 게임빌은 3분기 영업손실폭은 감소하지만 매출도 줄어든 것으로 추정됐다. 송병준 게임빌 겸 컴투스 대표이사. 성종화 이베스트증권 연구원은 21일 게임빌 목표주가를 4만8천 원에서...
5,[ESG 분석]삼성전기 2020년까지 환경 시설 혁신 이행률 90% 목표
5,제품 생산 전 과정에서 폐기물 저감 활동을 하고 있고 재활용률 80% 목표 달성을 위해 매월 발생량과... 최고경영자는 환경 에너지 경영 방침을 선포하고 세부적 활동 목표를 수립한다. 전체 임직원들은 가치 공유를...
5,정부  사회적 거리두기 10월말 개편 목표 
5,손 전략기획반장은  개편 논의를 실무적으로 진행해 10월 말쯤을 목표로 논의가 진행되고 있다 며  참고로 (이번 개편은) 사회적 거리두기 뿐아니라 전체 방역전략에 대한 재정비 작업도 병행될 것 이라고 했다. 이어 그는...
5,선진  2025년 매출 30억弗 목표 
5,달성하겠다는 목표를 내세웠다. 20일 선진에 따르면 이번 비전 선포식은 국내 경영진 일부가 참석한... 이날 선진은 2025년 사업목표를 글로벌 매출 30억 달러로 제시했다. 현재 매출 구성 비율 중 24%에 해당하는 글로벌...
5, 초실감 점프AR·VR 이용자 300만 달성…2021년까지 1000만 목표 (종합)
5,목표도 제시했다. 유영상 SK텔레콤 MNO사업대표(부사장)는 20일 온라인을 통해 열린 'SK텔레콤 AR·VR 온라인 간담회'에서  점프AR·VR 서비스 가입자는 1년만에 약 300만명 정도 수준이고 오는 2021년 1000만명을 목표로...
5, 제일기획 실적 회복 예상보다 빨라···목표가↑ 
5,대신증권은 예상보다 빠른 실적 회복속도를 보이고 있다며 21일 제일기획(030000)의 목표가를 2만5000원에서 2만8000원으로 12% 상향하고 투자의견 매수를 유지했다. 3·4분기 제일기획은 영업총이익(GP)는 2800억원...
5,사제폭탄 터뜨린 전주 20대男 목표는 짝사랑女가 아니었다
5,전북 전주에서 짝사랑하던 여성이 사는 아파트에 찾아가 사제 폭발물을 터뜨린 20대는 경찰 수사 결과 자해를 목적으로 범행을 저지른 것으로 나타났다. 19일 전주 덕진경찰서 등에 따르면 폭발물 사용 혐의로 입건된 A씨...
5,SK하이닉스 `인텔 낸드 인수` 10조 대금 논란 여지…목표가↓-유안타
5,투자의견은 ‘매수’(BUY)를 유지하지만 목표주가는 14만원에서 11만 3000원으로 19.3% 하향했다. SK하이닉스의 현재 주가는 지난 20일 종가 기준 8만 5200원이다. SK하이닉스는 20일 인텔의 NSG(Non Volatile Memory Solution...
5, 나주시 5대 선도과제 본 궤도 올랐다 …국정과제 채택 목표
5,특히 영산강 복원 종합계획 수립과 광주~나주~전남도청·목포 간 광역도시철도망 구축 마한사 복원·역사문화도시 지정 등은 차기 대선 국정과제 채택을 목표로 추진한다. 이날 출범식과 함께 공식 활동에 들어간...
5,신영證  셀트리온 3Q 실적 기대치 상회…목표가 35만원 
5,목표주가는 35만원 투자의견은 매수를 유지했다. 이명선 신영증권 연구원은  셀트리온헬스케어향 3분기 바이오시밀러 공급계약은 전년 동기대비 76.0% 증가했고 그에 따라 바이오의약품 매출은 75.6% 증가한...
5,“‘코로나19 우울 제로 도시 하남’이 목표”
5,市는 ‘코로나19 우울 제로 도시 하남’을 목표로 단기적으로는 고위험군 관리 및 지역계층별 맞춤형 코로나 우울예방 정책을 추진하고 중장기적으로 우울증 제로 도시 하남을 위한 제반환경 조성과 총체적인 시민...
5,보로노이 “연내 추가 기술수출 목표…내년 상장 재추진”
5,보로노이 관계자는 “국내·외 바이오기업 다수와 기술이전을 논의하고 있어 올해 2건의 기술수출 성과를 낼 수 있을 것”이라며 “기술이전 한 건을 추가로 체결한 뒤 내년 상장을 목표로 하겠다”고 말했다.
5,제일기획 실적 회복에 목표가↑-KB
5,이에 따라 이 회사 주식의 목표 주가를 기존 2만5500원에서 2만7000원으로 5.9% 상향 조정하고 투자 의견을 ‘매수’로 유지했다. 제일기획의 현재 주가는 1주당 2만1750원(20일 종가 기준)이다. 21일 이동륜 KB증권...
5,한화證  씨젠 3Q 실적도 역대 최대치 기대…목표가↑ 
5,4분기에도 계절적 영향으로 추가 매출 성장을 전망하며 목표주가를 43만원으로 상향하고 투자의견은 매수를 유지했다. 신재훈 한화투자증권 연구원은 3분기 실적에 대해  매출액은 신종 코로나 바이러스 감염증...
5,선진  2025년 매출 30억달러 목표 
5,달성하겠다는 목표를 제시했다. '스마트 축산'을 통해 식육·식품가공·해외부문을 중점적으로 키울... 지금보다 수준 높은 동물복지 축산모델을 개발·확산하겠다는 목표다. 이 사장은 또  글로벌기업으로 한층...
5,공공기관 65% 전기·수소차 목표 미달… 인프라 부족 
5,공공기관 상당수가 전기·수소차 구매 목표를 맞추지 못하는 것으로 나타났다. 국회... 전체 신규 차량(5천591대) 중 전기·수소차(2천388대)는 42.7%로 목표치 56%에 크게 못미쳤다. 특히 수소차 구매는 100대에 불과했다....
5,웹젠 잘 나가는 'R2M' 신작 기대감도…목표가↑ -삼성
5,이에 투자의견 ‘매수(buy)’를 유지하는 한편 목표주가를 기존의 5만5000원에서 5만8000원으로 5.45% 상향... 1000만명을 목표로 사전 예약을 시작했다. 텐센트가 퍼블리싱하는 ‘전민기적2’도 정확한 출시 일자가...
5,KT 선일금고와 금고뷰 출시…필수 보안가전 대중화 목표
5,KT가 지능형 영상보안 솔루션 '기가아이즈'와 선일금고 제품을 연계한 '금고뷰' 서비스를 출시한다고 20일 밝혔다. 선일금고는 국내 1위 금고 제작업체로 작년 9월부터 KT와 서비스를 공동 개발해왔다. KT에 따르면 금고뷰...
5,뉴이스트 백호  오랜 시간 사랑과 인정 받는 것 목표이자 꿈  [화보]
5,또 “최대한 오랜 시간 많은 사랑과 인정을 받는 게 목표이자 꿈”이라고 전했다. 백호는 코로나19 사태가 끝나면 가장 하고 싶은 일이 무엇이느냐는 질문에 공연이라고 답했다. 백호는 “공연장에서만 느낄 수 있는...
5, 셀트리온 3분기도 호실적 예상…목표가 35만원  - 신영증권
5,중간 결과 발표 등이 남아있는 만큼 내년에는 긴급사용승인이 되면 판매까지도 기대해볼 수 있을 것 이라고 진단했다. 이를 고려해 신영증권은 셀트리온에 대해 투자의견 매수를 제시하고 목표주가는 35만원을 유지했다.
5,충북도 겨울철 사료작물 재배 확대…조사료 자급률 88% 목표
5,올해 조사료 재배 목표는 7980㏊다. 지난해 7100㏊보다 880㏊ 늘리고 조사료 자급률도 지난해 86%에서 올해 88%로 2%포인트 높였다. 도가 조사료 재배 확대에 나선 것은 축산물 생산비 중 사료비가 40~60%를 차지하기...
5,마켓컬리서 만나는 ‘근대골목표’ 옛날빵 삼총사 출시
5,홍두당(대표 정성휘)이 운영하는 정통단팥빵 전문 베이커리 브랜드 ‘근대골목단팥빵’은 신선식품 온라인 쇼핑몰‘마켓컬리’에 신제품 옛날빵 3종을 런칭했다. 이번에 런칭한 옛날빵 시리즈는 옛날미니맘모스빵...
5,장수군 지방상수도 현대화사업 목표 조기달성
5,유수율 89.5%로 목표치 상회 사업성과 판정기간 10개월 앞당겨 검증 전북 장수군과 K-water 동화권지사가... 판정은 6개월 동안 목표 유수율 85% 이상을 잘 유지하는지 확인하게 된다. 장수군의 현재 유수율은 89.5%(7월...
5,게임빌 '프로야구2020' 흥행 속 숨고르기…목표가↓-이베스트
5,투자의견 ‘매수’는 유지했지만 컴투스(078340)의 지분가치 하향을 반영해 목표주가는 기존보다 8%(4000원) 낮은 4만4000원으로 내려잡았다. 게임빌은 지난 8월 ‘게임빌 프로야구 2020 슈퍼스타즈 글로벌’을 출시했다....
