label,sentence
5, 초실감 점프AR·VR 이용자 300만 달성…2021년까지 1000만 목표 (종합)
5,목표도 제시했다. 유영상 SK텔레콤 MNO사업대표(부사장)는 20일 온라인을 통해 열린 'SK텔레콤 AR·VR 온라인 간담회'에서  점프AR·VR 서비스 가입자는 1년만에 약 300만명 정도 수준이고 오는 2021년 1000만명을 목표로...
5,이달의소녀 '미드나잇' 컴백… 빌보드 메인차트 목표 
5,세세한 부분까지 정성을 쏟아주셔서 감사하다. 이번에 더 노력해서 보답하고 싶다 고 말했다. 활동 목표는 크게 잡았다. 고원은  빌보드 메인 차트에 진입하고 싶다 고 바랐다. ☞공감언론 뉴시스
5,상승세 탄 이달의소녀  목표는 빌보드 메인 차트죠 
5,미니 3집 '미드나잇'… 세상 모든 소녀와 우리는 하나  자유분방한 매력으로 사랑받는 걸그룹 이달의 소녀(LOONA)가 당찬 포부를 품고 새 앨범을 내놓는다. 이들은 19일 미니 3집 '미드나잇'(12:00) 발매를 기념해 연 온라인...
5,사제폭탄 터뜨린 전주 20대男 목표는 짝사랑女가 아니었다
5,전북 전주에서 짝사랑하던 여성이 사는 아파트에 찾아가 사제 폭발물을 터뜨린 20대는 경찰 수사 결과 자해를 목적으로 범행을 저지른 것으로 나타났다. 19일 전주 덕진경찰서 등에 따르면 폭발물 사용 혐의로 입건된 A씨...
5,씨젠 또 한번의 역사..목표가↑-한화
5,투자의견은 '매수'를 유지하고 목표주가는 43만원으로 높였다. 씨젠의 전 거래일 종가는 27만6800원이다. 신재훈 한화투자증권 연구원은 씨젠의 올해 3분기 연결기준 매출액은 3030억원 영업이익은 1875억원...
5,선진  2025년 매출 30억弗 목표 
5,달성하겠다는 목표를 내세웠다. 20일 선진에 따르면 이번 비전 선포식은 국내 경영진 일부가 참석한... 이날 선진은 2025년 사업목표를 글로벌 매출 30억 달러로 제시했다. 현재 매출 구성 비율 중 24%에 해당하는 글로벌...
5,셀트리온 3분기 영업益 컨세서스 하회 전망…목표가↓-키움
5,투자의견은 ‘매수’(BUY)를 유지했지만 목표주가는 38만원에서 35만원으로 7.9% 하향했다. 셀트리온의 현재 주가는 지난 19일 종가 기준 25만 5500원이다. 키움증권은 셀트리온의 3분기 실적이 매출액 4568억원 영업이익...
5,GC녹십자웰빙 암악액질 신약 유럽 임상 순항… 2021 기술이전 목표 
5,GC녹십자웰빙 암악액질 신약 유럽 임상 순항… 2021 기술이전 목표  GC녹십자웰빙이 암악액질 신약... 이전을 목표로 다수의 글로벌 제약사들과 본격적인 논의를 시작할 것 이라고 말했다. 한편 GCWB204는 지난 2016년...
5,정부  사회적 거리두기 10월말 개편 목표 
5,손 전략기획반장은  개편 논의를 실무적으로 진행해 10월 말쯤을 목표로 논의가 진행되고 있다 며  참고로 (이번 개편은) 사회적 거리두기 뿐아니라 전체 방역전략에 대한 재정비 작업도 병행될 것 이라고 했다. 이어 그는...
5,보로노이 “연내 추가 기술수출 목표…내년 상장 재추진”
5,보로노이 관계자는 “국내·외 바이오기업 다수와 기술이전을 논의하고 있어 올해 2건의 기술수출 성과를 낼 수 있을 것”이라며 “기술이전 한 건을 추가로 체결한 뒤 내년 상장을 목표로 하겠다”고 말했다.
5,북한 내각전원회의 확대회의…‘80일 전투’ 구체적 목표 논의
5,전투 목표를 수행하기 위한 총공격전을 과감히 전개해 기어이 수행해야 한다”고 강조했습니다. 우선 홍수와 태풍 피해 복구를 위해 부처 별로 구체적인 목표가 논의됐습니다. 확대회의에선 전력공업성에 “수력발전소...
5,셀트리온 3분기 영업益 컨세서스 하회 전망…목표가↓-키움
5,투자의견은 ‘매수’(BUY)를 유지했지만 목표주가는 38만원에서 35만원으로 7.9% 하향했다. 셀트리온의 현재 주가는 지난 19일 종가 기준 25만 5500원이다. 키움증권은 셀트리온의 3분기 실적이 매출액 4568억원 영업이익...
5,GC녹십자웰빙 암악액질 신약 유럽 임상 순항… 2021 기술이전 목표 
5,GC녹십자웰빙 암악액질 신약 유럽 임상 순항… 2021 기술이전 목표  GC녹십자웰빙이 암악액질 신약... 이전을 목표로 다수의 글로벌 제약사들과 본격적인 논의를 시작할 것 이라고 말했다. 한편 GCWB204는 지난 2016년...
5,큐렉소 “인공관절수술로봇 공개…내년 초 유럽 승인 목표”
5,유연성을 보강한 제품 이라며  수술로봇에 대한 오랜 사업경험을 바탕으로 해외 경쟁 제품과 동등 이상의 경쟁력을 자신한다 고 말했다. 회사는 내년 초 큐비스 조인트의 유럽 허가(CE) 승인을 목표하고 있다.
5,채선당 도시락·샐러드 사업 진출… 올해 20호점 목표
5,채선당이 도시락 브랜드 '채선당 도시락&샐러드'를 론칭하고 도시락 사업을 전개한다. 채선당은 도시락&샐러드 브랜드 '채선당 도시락&샐러드'를 서울 마포구 상암동에 1호점인 '상암DMC점'을 오픈했다고 20일 밝혔다....
5,충북도 겨울철 사료작물 재배 확대…조사료 자급률 88% 목표
